q 0.00104805
z 0.00124102
j 0.00199732
x 0.00201492
k 0.00694412
v 0.0107517
b 0.015425
y 0.0155506
w 0.0167615
g 0.019956
p 0.0209335
f 0.0221653
m 0.0257038
u 0.026141
c 0.0329934
d 0.0391679
l 0.041862
h 0.0496328
r 0.0655124
s 0.0677968
n 0.0721715
o 0.0724771
i 0.0741495
a 0.0857047
t 0.0888567
e 0.123042
